OfficeITPlaceId,DateTimeStamp,OccupancyPercent,date,time,NameOfTheDay,NumberingDay,DayType,HourOfDay,Slots
4,03-01-2015 20:05,15,03-01-2015 00:00,20:05:00,Saturday,6,weekend,20,S3
1,03-01-2015 20:10,5,03-01-2015 00:00,20:10:00,Saturday,6,weekend,20,S3
4,03-01-2015 20:15,13,03-01-2015 00:00,20:15:00,Saturday,6,weekend,20,S3
3,03-01-2015 20:20,14,03-01-2015 00:00,20:20:00,Saturday,6,weekend,20,S3
2,03-01-2015 20:25,9,03-01-2015 00:00,20:25:00,Saturday,6,weekend,20,S3
3,03-01-2015 20:30,10,03-01-2015 00:00,20:30:00,Saturday,6,weekend,20,S3
3,03-01-2015 20:35,8,03-01-2015 00:00,20:35:00,Saturday,6,weekend,20,S3
3,03-01-2015 20:40,12,03-01-2015 00:00,20:40:00,Saturday,6,weekend,20,S3
2,03-01-2015 20:45,11,03-01-2015 00:00,20:45:00,Saturday,6,weekend,20,S3
1,03-01-2015 20:50,9,03-01-2015 00:00,20:50:00,Saturday,6,weekend,20,S3
3,03-01-2015 20:55,12,03-01-2015 00:00,20:55:00,Saturday,6,weekend,20,S3
3,03-01-2015 21:00,12,03-01-2015 00:00,21:00:00,Saturday,6,weekend,21,S3
1,03-01-2015 21:05,14,03-01-2015 00:00,21:05:00,Saturday,6,weekend,21,S3
4,03-01-2015 21:10,15,03-01-2015 00:00,21:10:00,Saturday,6,weekend,21,S3
2,03-01-2015 21:15,11,03-01-2015 00:00,21:15:00,Saturday,6,weekend,21,S3
2,03-01-2015 21:20,5,03-01-2015 00:00,21:20:00,Saturday,6,weekend,21,S3
2,03-01-2015 21:25,13,03-01-2015 00:00,21:25:00,Saturday,6,weekend,21,S3
3,03-01-2015 21:30,9,03-01-2015 00:00,21:30:00,Saturday,6,weekend,21,S3
2,03-01-2015 21:35,14,03-01-2015 00:00,21:35:00,Saturday,6,weekend,21,S3
1,03-01-2015 21:40,10,03-01-2015 00:00,21:40:00,Saturday,6,weekend,21,S3
2,03-01-2015 21:45,14,03-01-2015 00:00,21:45:00,Saturday,6,weekend,21,S3
3,03-01-2015 21:50,11,03-01-2015 00:00,21:50:00,Saturday,6,weekend,21,S3
3,03-01-2015 21:55,7,03-01-2015 00:00,21:55:00,Saturday,6,weekend,21,S3
3,03-01-2015 22:00,12,03-01-2015 00:00,22:00:00,Saturday,6,weekend,22,S3
2,03-01-2015 22:05,12,03-01-2015 00:00,22:05:00,Saturday,6,weekend,22,S3
2,03-01-2015 22:10,8,03-01-2015 00:00,22:10:00,Saturday,6,weekend,22,S3
1,03-01-2015 22:15,13,03-01-2015 00:00,22:15:00,Saturday,6,weekend,22,S3
4,03-01-2015 22:20,9,03-01-2015 00:00,22:20:00,Saturday,6,weekend,22,S3
3,03-01-2015 22:25,12,03-01-2015 00:00,22:25:00,Saturday,6,weekend,22,S3
2,03-01-2015 22:30,12,03-01-2015 00:00,22:30:00,Saturday,6,weekend,22,S3
2,03-01-2015 22:35,13,03-01-2015 00:00,22:35:00,Saturday,6,weekend,22,S3
1,03-01-2015 22:40,11,03-01-2015 00:00,22:40:00,Saturday,6,weekend,22,S3
2,03-01-2015 22:45,15,03-01-2015 00:00,22:45:00,Saturday,6,weekend,22,S3
2,03-01-2015 22:50,5,03-01-2015 00:00,22:50:00,Saturday,6,weekend,22,S3
3,03-01-2015 22:55,12,03-01-2015 00:00,22:55:00,Saturday,6,weekend,22,S3
2,03-01-2015 23:00,10,03-01-2015 00:00,23:00:00,Saturday,6,weekend,23,S3
2,03-01-2015 23:05,14,03-01-2015 00:00,23:05:00,Saturday,6,weekend,23,S3
1,03-01-2015 23:10,7,03-01-2015 00:00,23:10:00,Saturday,6,weekend,23,S3
2,03-01-2015 23:15,7,03-01-2015 00:00,23:15:00,Saturday,6,weekend,23,S3
2,03-01-2015 23:20,12,03-01-2015 00:00,23:20:00,Saturday,6,weekend,23,S3
2,03-01-2015 23:25,13,03-01-2015 00:00,23:25:00,Saturday,6,weekend,23,S3
4,03-01-2015 23:30,9,03-01-2015 00:00,23:30:00,Saturday,6,weekend,23,S3
3,03-01-2015 23:35,6,03-01-2015 00:00,23:35:00,Saturday,6,weekend,23,S3
4,03-01-2015 23:40,14,03-01-2015 00:00,23:40:00,Saturday,6,weekend,23,S3
4,03-01-2015 23:45,10,03-01-2015 00:00,23:45:00,Saturday,6,weekend,23,S3
1,03-01-2015 23:50,8,03-01-2015 00:00,23:50:00,Saturday,6,weekend,23,S3
4,03-01-2015 23:55,6,03-01-2015 00:00,23:55:00,Saturday,6,weekend,23,S3
